production_id,title,author,translator,publisher,publish_date,price,isbn,original_title,categories,url
10012150962682994794004,銀河金融保險公司COSMOS 2,田村隆平,羅筱君,東立出版社有限公司,2025-10-31,140,9786260249601,COSMOS,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962682994794004
10012116312683073421002,笑魘 11 (完),服部未定,何宜叡,尖端出版,2026-01-20,160,9786264346160,スマイリー,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683073421002
10012150962682997201004,攻殼機動隊 THE HUMAN ALGORITHM 4,藤咲淳一/ 腳本; 吉本祐樹,猴,東立出版社有限公司,2025-10-31,180,9786260205041,攻殻機動隊 THE HUMAN ALGORITHM,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962682997201004
10012011762683010928007,惡魔少女不嚴警! 1,安部真弘,逆辰,台灣東販股份有限公司,2025-10-30,130,9786264371094,アクマでふけい!,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683010928007
10012116312683073422009,笑魘 11 (完/台灣限定版),服部未定,何宜叡,尖端出版,2026-01-20,199,N/A,スマイリー,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683073422009
10012011762683010910002,獻祭巫女 1,アラスカぱん,kyo,台灣東販股份有限公司,2025-10-30,140,9786264371674,にえみこ,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683010910002
10012011762683010925006,被捨棄的聖女正盡情享受契約婚姻。後悔了? 那又如何? 1,miniko/ 原作; いくら/ 構成; 海野電球,kyo,台灣東販股份有限公司,2025-10-30,140,9786264371773,捨てられ聖女は契約結婚を満喫中。後悔してる?だから何?,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683010925006
10012023942683025175007,"轉生之後40年, 中年大叔也差不多想談戀愛了。~第二次的人生是後宮路線!?~ 3",清露．ぎうにう/ 原作; えむあ,朱自祥,青文出版社股份有限公司,2025-10-30,140,9786264362665,転生してから40年。そろそろ、おじさんも恋がしたい。 二度目の人生はハーレムルート!?,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012023942683025175007
10012116312683015255009,未踏之地 9,山下和美,蒼貓,尖端出版,2025-10-21,150,9786264344517,ランド,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012116312683015255009
10012150962683002645004,機動戰士鋼彈THUNDERBOLT 20,矢立肇．富野由悠季/ 原案; 太田垣康男,吳勵誠,東立出版社有限公司,2025-10-30,160,9786260205058,機動戦士ガンダムサンダーボルト,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962683002645004
10012150962683000220005,入間同學入魔了! if Episode of 魔手黨 3 (首刷限定版),西修/ 原作; hiro者,杜信彰,東立出版社有限公司,2025-10-21,180,9786260257255,魔入りました! 入間くん if Episode of 魔フィア,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962683000220005
10012011762683010930000,海王子典藏版 3,手塚治虫,章澤儀,台灣東販股份有限公司,2025-10-30,280,9786264371766,海のトリトン,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683010930000
10012116312683011813005,外天樓 (全),石黑正數,賴思宇,尖端出版,2025-10-21,250,9786264344388,外天楼,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012116312683011813005
10012241782683018413000,蘑菇魔女 4,樋口橘,Akane,長鴻出版社股份有限公司,2025-10-29,110,9786264306164,シャンピニオンの魔女,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012241782683018413000
10012116312683018633002,超人X 9,石田スイ,蔡柏頤,尖端出版,2025-10-31,180,9786264345064,超人X,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683018633002
10012241782683018416001,"為了實現願望召喚了惡魔, 但因為太可愛就結婚了 ~惡魔的新妻~ 3",shiryu/ 原作; となりける,七絃,長鴻出版社股份有限公司,2025-10-29,130,9786264306133,願いを叶えてもらおうと悪魔を召喚したけど、可愛かったので結婚しました ~悪魔の新妻~,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012241782683018416001
10012011762683010924009,Myther 1 (首刷限定版),八田てき,朔小方,台灣東販股份有限公司,2025-10-30,220,9786264371759,Myther,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012011762683010924009
10012150962682994804000,BLACK CAT黑貓愛藏版 3,矢吹健太朗,叢琳,東立出版社有限公司,2025-10-27,270,9786260239251,BLACK CAT,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962682994804000
10012116312683018622006,鴨乃橋論的禁忌推理 15,天野明,平川遊佐,尖端出版,2025-10-29,150,9786264343633,鴨乃橋ロンの禁断推理,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683018622006
10012150962682997173004,GALAXIAS冒險之旅 1,果坂青,林志昌,東立出版社有限公司,2025-10-23,110,9786260247133,GALAXIAS,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962682997173004
10012023942683025173003,名偵探柯南: 來自黑衣組織的女子/ 與黑衣組織的再會 (全),青山剛昌,譚志瑋,青文出版社股份有限公司,2025-10-29,380,9786264362733,名探偵コナン黒ずくめの組織から来た女/ 黒ずくめの組織との再会,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012023942683025173003
10012011762683009404000,轉生就是劍Another Wish 4,棚架ユウ/ 原作; るろお/ 角色設計; いのうえひなこ,海鷗,台灣角川股份有限公司,,140,9786264354899,転生したら剣でしたAnother Wish,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683009404000
10012010032683013486009,藥屋少女的呢喃: 貓貓的後宮解謎手帳 19 (特裝版),日向夏/ 原作; 篠冬子/ 角色原案; 倉田三之路,盧昀詩,長鴻出版社股份有限公司,2025-10-17,450,N/A,薬屋のひとりごと: 猫猫の後宮謎解き手帳,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012010032683013486009
10012011762683009389000,轉生就是劍Another Wish 3,棚架ユウ/ 原作; るろお/ 角色設計; いのうえひなこ,海鷗,台灣角川股份有限公司,,140,9786264354882,転生したら剣でしたAnother Wish,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683009389000
10012023942683078297008,少年的深淵 16,峰浪りょう,MON,青文出版社股份有限公司,2026-01-21,140,9786264366052,少年のアビス,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012023942683078297008
10012023942683020035009,犬與勇者不是擺飾 2,あまなっとう/ 原作; ヤスダスズヒト/ 角色原案; 波多ヒロ,蘇奕軒,青文出版社股份有限公司,,140,9786264363006,犬と勇者は飾らない,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012023942683020035009
10012023942683078291006,你喜歡的不是女兒而是我!? 7,望公太/ 原作; ぎうにう/ 角色設計; 東鐵神,CHIKA,青文出版社股份有限公司,2026-01-21,140,9786264366045,娘じゃなくて私が好きなの!?,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012023942683078291006
10012150962683007695004,和尾守積美希共度奇幻日常 5,森下みゆ,叢琳,東立出版社有限公司,2025-10-21,110,9786260256944,尾守つみきと奇日常。,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962683007695004
10012116312683073424003,擅長捉弄人的前高木同學 14,山本崇一朗/ 原作; 稻葉光史,泪紫音,尖端出版,2026-01-20,140,9786264342759,からかい上手の元高木さん,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012116312683073424003
10012241782683018405005,企業傭兵．艾妲Initial Stage 3,広江礼威/ 原作; 山村哉,魏嫚秀,長鴻出版社股份有限公司,2025-10-21,130,9786264306102,BLACK LAGOONエダ イニシャルステージ,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012241782683018405005
10012010032683013491003,藥屋少女的呢喃: 貓貓的後宮解謎手帳 19 (豪華特裝版),日向夏/ 原作; 篠冬子/ 角色原案; 倉田三之路,盧昀詩,長鴻出版社股份有限公司,2025-10-17,999,N/A,薬屋のひとりごと: 猫猫の後宮謎解き手帳,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012010032683013491003
10012150962683007689003,騎乘之王 15,馬場康誌,陳姿君,東立出版社有限公司,2025-10-21,140,9786260255800,ライドンキング,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962683007689003
10012116312683073427004,指尖相觸戀戀不捨 1,森下suu,施凡,尖端出版,2026-01-20,180,9786264347419,ゆびさきと恋々,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012116312683073427004
10012116312683015256006,未踏之地 10,山下和美,蒼貓,尖端出版,2025-10-21,150,9786264344524,ランド,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012116312683015256006
10012023942683015233007,黑暗集會 16,近藤憲一,yuzuru,青文出版社股份有限公司,2025-10-15,120,9786264361354,ダークギャザリング,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012023942683015233007
10012150962683056815002,經理女孩悠悠日常 1 (首刷限定版),山本崇一朗,An Seo Mi,東立出版社有限公司,2026-01-19,300,9786260261948,マネマネにちにち,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683056815002
10012150962682994801009,物之古物奇譚 7,鬼軍曹,林志昌,東立出版社有限公司,2025-10-13,140,9786260221256,もののがたり,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012150962682994801009
10012023942683073606003,SUGAR GIRL甜心女孩 (全),ヤマシタトモコ,都雪,青文出版社股份有限公司,2026-01-14,140,9786264367479,SUGAR GIRL,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012023942683073606003
10012150962683051051009,戀上換裝娃娃 15 (完),福田晋一,王杉珊,東立出版社有限公司,2026-01-15,140,9786260260972,その着せ替え人形は恋をする,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683051051009
10012116312683070344007,我家的弟弟們真是讓您費心了 5,オザキアキラ,Arieru,尖端出版,2026-01-14,150,9786264347181,うちの弟どもがすみません,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012116312683070344007
10012116312683007651000,笑魘 9,服部未定,何宜叡,尖端出版,2025-10-09,150,9786264343015,スマイリー,中文書 > 📌圖文漫畫85折起 > 日系驚悚推理／神怪靈異,https://www.eslite.com/product/10012116312683007651000
10012150962683051059005,薰香花朵凛然綻放 14,三香見SAKA,羅筱君,東立出版社有限公司,2026-01-12,110,9786260261306,薫る花は凛と咲く,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012150962683051059005
10012011762683069131007,"反派千金與反派少爺若是在相遇後墜入情網: 與無名精靈締結契約而遭驅逐的千金, 今天似乎也在和少爺一較高下 4",榛名丼/ 原作; さらちよみ/ 角色原案; 迂回チル,久留,台灣角川股份有限公司,2026-01-15,140,9786264359665,悪役令嬢と悪役令息が、出逢って恋に落ちたなら~名無しの精霊と契約して追い出された令嬢は、今日も令息と競い合っているようです~,中文書 > 📌圖文漫畫85折起 > 日系戀愛故事／校園青春,https://www.eslite.com/product/10012011762683069131007
