NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url,FALSE
E253-06244,E253-05254,E253-06241,,E050293567,,,,,,,,,,,蓮華頌(一)(電子書),,蓮華頌(一) (電子書),,,蓮華頌一電子書,蓮華頌一電子書,,,,,,,雲芩子,雲芩子,,,,,,,戀采雲墨,,戀采雲墨,,,2025/9/21,2025/9/21,2025/9/21,,,77.0,77.0,,,中文書 >  文學小說 > 華文創作 > 小說,,,,,https://www.books.com.tw/products/E050293567,,,False
E253-06246,E253-05255,E253-06243,,E050293568,,,,,,,,,,,蓮華頌(二)(電子書),,蓮華頌(二) (電子書),,,蓮華頌二電子書,蓮華頌二電子書,,,,,,,雲芩子,雲芩子,,,,,,,戀采雲墨,,戀采雲墨,,,2025/9/21,2025/9/21,2025/9/21,,,77.0,77.0,,,中文書 >  文學小說 > 華文創作 > 小說,,,,,https://www.books.com.tw/products/E050293568,,,False
E253-06248,E253-05256,E253-06245,,E050293569,,,,,,,,,,,蓮華頌(三)(電子書),,蓮華頌(三) (電子書),,,蓮華頌三電子書,蓮華頌三電子書,,,,,,,雲芩子,雲芩子,,,,,,,戀采雲墨,,戀采雲墨,,,2025/9/21,2025/9/21,2025/9/21,,,77.0,77.0,,,中文書 >  文學小說 > 華文創作 > 小說,,,,,https://www.books.com.tw/products/E050293569,,,False
