NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,production_id,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url
E253-00035,E253-06777,E253-00035,,210398928000101,,,210398928000101.0,,,,9780020250906.0,,,,,《獨寵Anan》套書，共三冊,,,,《獨寵Anan》套書，共三冊,,,,,,,,,그웬돌린（Gwendolyn）,,,그웬돌린（Gwendolyn）,,,,子衿,朧月,朧月書版有限公司,,,朧月,,,,,2025/07/16,,,,798.0,,,輕小說-BL-韓國耽美,,套賣商品,,,https://readmoo.com/book/210398928000101
E253-00037,E253-02523,E253-00037,,E050273467,E050273467,,,,4711441073251.0,,,,4711441073251.0,,,「引爆點」全攻略：《引爆趨勢》+《暗黑引爆點》雙書組合(電子書),,「引爆點」全攻略：《引爆趨勢》+《暗黑引爆點》雙書組合 (電子書),,,,,,,,,,,麥爾坎．葛拉威爾,麥爾坎．葛拉威爾,,,,,,,時報出版,時報文化出版企業股份有限公司,時報出版,,,,,2025/7/8,,,,940.0,,,中文書 >  商業理財 > 經濟／趨勢 > 觀念／趨勢,,,,,https://www.books.com.tw/products/E050273467,,
E253-00038,E253-00428,E253-00038,,av-44,,av-44,210401115000101.0,,,7399000000025.0,,,,7399000000025.0,,「客製化清潔女僕全套排毒計劃」李微微AV全收錄寫真,,,「客製化清潔女僕全套排毒計劃」 李微微 AV全收錄寫真,,客製化清潔女僕全套排毒計劃李微微av全收錄寫真,,客製化清潔女僕全套排毒計劃李微微AV全收錄寫真,,,,,,李微微,,李微微,,,,,,暮想出版,暮想出版股份有限公司,,暮想出版,,,,,2025-07-25,,,,199.0,,,愛情-成人-情色攝影,寫真集-AV女優,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/av-44,
