NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url,FALSE
E253-20328 / E253-12550,NEW4084 / NEW1880,E253-20329 / E253-10550,（空白） / FIND_3306,,AILOyN-gPz6TqmRdpoCzuQ,210402159000101.0,9786263397842,,9786263397842.0,9786263397842.0,9786263397842,,9786263397842.0,9786263397842.0,熟女記(47),,,熟女記(47),熟女記(47),熟女記47,,熟女記47,熟女記47,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/7/23,2025/7/23,,2025/7/23,2025/7/23,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/AILOyN-gPz6TqmRdpoCzuQ,https://readmoo.com/book/210402159000101,False
E253-20326 / E253-12551,NEW4085 / NEW1881,E253-20327 / E253-10551,（空白） / FIND_3307,,ahTAwoLZNjGaPohBPZ9JtA,210402163000101.0,9786263397859,,9786263397859.0,9786263397859.0,9786263397859,,9786263397859.0,9786263397859.0,熟女記(48),,,熟女記(48),熟女記(48),熟女記48,,熟女記48,熟女記48,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/7/23,2025/7/23,,2025/7/23,2025/7/23,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/ahTAwoLZNjGaPohBPZ9JtA,https://readmoo.com/book/210402163000101,False
E253-20325 / E253-12552,NEW4213 / NEW1250,E253-20326 / E253-10552,（空白） / FIND_3308,,MIdxPwuezjyYhCoHKoekzQ,210402164000101.0,9786263397989,,9786263397989.0,9786263397989.0,9786263397989,,9786263397989.0,9786263397989.0,熟女記(49),,,熟女記(49),熟女記(49),熟女記49,,熟女記49,熟女記49,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/7/27,2025/7/27,,2025/7/27,2025/7/27,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/MIdxPwuezjyYhCoHKoekzQ,https://readmoo.com/book/210402164000101,False
E253-20323 / E253-12553,NEW4214 / NEW1251,E253-20324 / E253-10553,（空白） / FIND_3309,,DlDGOgOHIjihAQFQMp66tA,210402167000101.0,9786263397996,,9786263397996.0,9786263397996.0,9786263397996,,9786263397996.0,9786263397996.0,熟女記(50),,,熟女記(50),熟女記(50),熟女記50,,熟女記50,熟女記50,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/7/27,2025/7/27,,2025/7/27,2025/7/27,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/DlDGOgOHIjihAQFQMp66tA,https://readmoo.com/book/210402167000101,False
E253-20166 / E253-12555,NEW4232 / NEW3016,E253-20167 / E253-10555,（空白） / FIND_3310,,VSXsGOKnOjGHBxc6Yuo7OQ,210408436000101.0,9786263398023,,9786263398023.0,9786263398023.0,9786263398023,,9786263398023.0,9786263398023.0,熟女記(51),,,熟女記(51),熟女記(51),熟女記51,,熟女記51,熟女記51,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/8/16,2025/8/16,,2025/8/16,2025/8/16,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/VSXsGOKnOjGHBxc6Yuo7OQ,https://readmoo.com/book/210408436000101,False
E253-20165 / E253-12556,NEW4233 / NEW3017,E253-20166 / E253-10556,（空白） / FIND_3311,,0rrapaNLejyCu3eqPuifWQ,210408437000101.0,9786263398030,,9786263398030.0,9786263398030.0,9786263398030,,9786263398030.0,9786263398030.0,熟女記(52),,,熟女記(52),熟女記(52),熟女記52,,熟女記52,熟女記52,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/8/16,2025/8/16,,2025/8/16,2025/8/16,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/0rrapaNLejyCu3eqPuifWQ,https://readmoo.com/book/210408437000101,False
E253-20043 / E253-12557,NEW4137 / NEW2852,E253-20044 / E253-10557,（空白） / FIND_3312,,_KpFNl2BUDGm7mSN4FaZnA,210411789000101.0,9786263398306,,9786263398306.0,9786263398306.0,9786263398306,,9786263398306.0,9786263398306.0,熟女記(53),,,熟女記(53),熟女記(53),熟女記53,,熟女記53,熟女記53,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/9/17,2025/9/17,,2025/9/17,2025/9/17,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/_KpFNl2BUDGm7mSN4FaZnA,https://readmoo.com/book/210411789000101,False
E253-20038 / E253-12558,NEW4138 / NEW2853,E253-20039 / E253-10558,（空白） / FIND_3313,,esA8ZgheSzWonVbZ5wwhXg,210411796000101.0,9786263398313,,9786263398313.0,9786263398313.0,9786263398313,,9786263398313.0,9786263398313.0,熟女記(54),,,熟女記(54),熟女記(54),熟女記54,,熟女記54,熟女記54,,,,,卡牌,,卡牌,卡牌,,,,,河圖文化,,,,河圖文化,2025/9/17,2025/9/17,,2025/9/17,2025/9/17,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/esA8ZgheSzWonVbZ5wwhXg,https://readmoo.com/book/210411796000101,False
E253-12559,NEW940,E253-10559,FIND_3314,E050275985,,,,,,,9786263397842,9786263397842.0,,,熟女記47(限),,熟女記47(限),,,熟女記47限,熟女記47限,,,,,,,卡牌,卡牌,,,,,,,河圖文化,,河圖文化,,,2025/7/25,2025/7/25,2025/7/25,,,180.0,180.0,,,文學小說-華文創作-小說,,,,,https://www.books.com.tw/products/E050275985,,,False
E253-12560,NEW941,E253-10560,FIND_3315,E050275986,,,,,,,9786263397859,9786263397859.0,,,熟女記48(限),,熟女記48(限),,,熟女記48限,熟女記48限,,,,,,,卡牌,卡牌,,,,,,,河圖文化,,河圖文化,,,2025/7/25,2025/7/25,2025/7/25,,,180.0,180.0,,,文學小說-華文創作-小說,,,,,https://www.books.com.tw/products/E050275986,,,False
