NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,production_id,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url
E253-00144,E253-06471,E253-00144,,210411197000101,,,210411197000101.0,,,,,,,,,114(1)國小生活1上測驗卷,,,,114(1)國小生活1上測驗卷,,,,,,,,,陳美惠,,,陳美惠,,,,,康軒文教,康軒文教事業股份有限公司,,,康軒文教,,,,,2025/08/01,,,,180.0,,,學習輔助與工具書-考試用書,,固定版面 EPUB,,,https://readmoo.com/book/210411197000101
E253-00145,E253-06472,E253-00145,,210411198000101,,,210411198000101.0,,,,,,,,,114(1)國小生活2上測驗卷,,,,114(1)國小生活2上測驗卷,,,,,,,,,陳美惠,,,陳美惠,,,,,康軒文教,康軒文教事業股份有限公司,,,康軒文教,,,,,2025/08/01,,,,180.0,,,學習輔助與工具書-考試用書,,固定版面 EPUB,,,https://readmoo.com/book/210411198000101
E253-00146,E253-06473,E253-00146,,210411189000101,,,210411189000101.0,,,,,,,,,114(1)國小自然3上測驗卷,,,,114(1)國小自然3上測驗卷,,,,,,,,,楊宗榮,,,楊宗榮,,,,,康軒文教,康軒文教事業股份有限公司,,,康軒文教,,,,,2025/08/01,,,,180.0,,,學習輔助與工具書-考試用書,,固定版面 EPUB,,,https://readmoo.com/book/210411189000101
