NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url,FALSE,cluster
E253-00403,E253-01314,E253-00403,,,dots-x-circles-3,,1230009335097,,1230009335097.0,,1230009335097,,1230009335097.0,,DotsxCircles插畫雜誌第3期,,,Dots x Circles 插畫雜誌第3期,,dotsxcircles插畫雜誌第3期,,DotsxCircles插畫雜誌第3期,,2025-08-01 0:00:00,,2025-08-01 0:00:00,,"Dots x Circles, LLC編著, 瑩然創意工作室譯",,"Dots x Circles, LLC編著, 瑩然創意工作室譯",,,,,,瑩然創意工作室(授權發行),,,瑩然創意工作室(授權發行),,2025/9/1,2025/9/1,,2025/9/1,,340.0,,340.0,,,非小說-家庭與園藝-手工藝與嗜好,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/dots-x-circles-3,,False,-1
E253-00404,E253-05989,E253-00404,,,,220409315000101.0,,,,,,,,,DotsxCircles插畫雜誌第3期：2025年8月,X雜誌,,,Dots x Circles 插畫雜誌 第3期        ：2025年8月,DotsxCircles插畫雜誌第3期2025年8月,,,DotsxCircles插畫雜誌第3期2025年8月,Dots x Circles Illustration Magazine Issue 03,,,Dots x Circles Illustration Magazine Issue 03,Dots x Circles,,,Dots x Circles,瑩然創意工作室,,,瑩然創意工作室,瑩然創意工作室,,,,瑩然創意工作室,2025/9/1,2025/9/1,,,2025/9/1,340.0,,,340.0,,,雜誌-中文雜誌-設計藝術,,固定版面 EPUB,,,https://readmoo.com/book/220409315000101,False,-1
E253-11519,NEW3651,E253-09519,FIND_237,,,210413219000101.0,,,,,,,,,FeeltheWorldLevel1:ComewithUs！(Self-Management)（有聲套書）,,,,FeeltheWorldLevel1:ComewithUs！(Self-Management)（有聲套書）,FeeltheWorldLevel1ComewithUsSelfManagement有聲套書,,,FeeltheWorldLevel1ComewithUsSelfManagement有聲套書,,,,,John D． Smith,,,John D． Smith,,,,,敦煌書局,,,,敦煌書局,2025/9/1,2025/9/1,,,2025/9/1,225.0,,,225.0,,,學習輔助與工具書-語言學習-英語,,套賣商品,,,https://readmoo.com/book/210413219000101,False,-1
E253-11530,NEW3652,E253-09530,FIND_238,,,210413195000101.0,,,,,,,,,FeeltheWorldLevel1:MontyandMayaGotoMatsu！(Self-Awareness)（有聲套書）,,,,FeeltheWorldLevel1:MontyandMayaGotoMatsu！(Self-Awareness)（有聲套書）,FeeltheWorldLevel1MontyandMayaGotoMatsuSelfAwareness有聲套書,,,FeeltheWorldLevel1MontyandMayaGotoMatsuSelfAwareness有聲套書,,,,,John D． Smith,,,John D． Smith,,,,,敦煌書局,,,,敦煌書局,2025/9/1,2025/9/1,,,2025/9/1,225.0,,,225.0,,,學習輔助與工具書-語言學習-英語,,套賣商品,,,https://readmoo.com/book/210413195000101,False,-1
E253-11741,NEW1546,E253-09741,FIND_257,,g-lish-vol-25-1,,6710000003709,,6710000003709.0,,6710000003709,,6710000003709.0,,G-Lish綺想曲vol．25(上),,,G-Lish綺想曲vol．25(上),,GLish綺想曲vol25上,,GLish綺想曲vol25上,,,,,,"紫国天レイ, 鮭田ねね, 森キヨウ, 三島ピタリ, 踊十利, BlavO",,"紫国天レイ, 鮭田ねね, 森キヨウ, 三島ピタリ, 踊十利, BlavO",,,,,,,,,,,2025/7/7,2025/7/7,,2025/7/7,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-25-1,,False,43
E253-11752,NEW1547,E253-09752,FIND_258,,g-lish-vol-25,,6710000003710,,6710000003710.0,,6710000003710,,6710000003710.0,,G-Lish綺想曲vol．25(下),,,G-Lish綺想曲vol．25(下),,GLish綺想曲vol25下,,GLish綺想曲vol25下,,,,,,"しいな, ナツマサキ, じねん, 牟田いゆ, 柳瀬せの",,"しいな, ナツマサキ, じねん, 牟田いゆ, 柳瀬せの",,,,,,,,,,,2025/7/7,2025/7/7,,2025/7/7,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-25,,False,43
E253-11763,NEW2086,E253-09763,FIND_259,,g-lish-vol-26,,6710000003722,,6710000003722.0,,6710000003722,,6710000003722.0,,G-Lish綺想曲vol．26(上),,,G-Lish綺想曲vol．26(上),,GLish綺想曲vol26上,,GLish綺想曲vol26上,,,,,,"木田かおる, ねこげ, 森乃タピ, 平眞ミツナガ",,"木田かおる, ねこげ, 森乃タピ, 平眞ミツナガ",,,,,,,,,,,2025/8/12,2025/8/12,,2025/8/12,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-26,,False,43
E253-11775,NEW2087,E253-09775,FIND_260,,g-lish-vol-26-1,,6710000003723,,6710000003723.0,,6710000003723,,6710000003723.0,,G-Lish綺想曲vol．26(下),,,G-Lish綺想曲vol．26(下),,GLish綺想曲vol26下,,GLish綺想曲vol26下,,,,,,"sawaco, ohige, 中野都, すずくこま",,"sawaco, ohige, 中野都, すずくこま",,,,,,,,,,,2025/8/12,2025/8/12,,2025/8/12,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-26-1,,False,43
E253-11786,NEW1624,E253-09786,FIND_261,,g-lish-vol-27-1,,6710000003733,,6710000003733.0,,6710000003733,,6710000003733.0,,G-Lish綺想曲vol．27(上),,,G-Lish綺想曲vol．27(上),,GLish綺想曲vol27上,,GLish綺想曲vol27上,,,,,,"直江犀, ほしの世界, 踊十利, 三島ピタリ",,"直江犀, ほしの世界, 踊十利, 三島ピタリ",,,,,,,,,,,2025/9/7,2025/9/7,,2025/9/7,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-27-1,,False,43
E253-11797,NEW1625,E253-09797,FIND_262,,g-lish-vol-27,,6710000003734,,6710000003734.0,,6710000003734,,6710000003734.0,,G-Lish綺想曲vol．27(下),,,G-Lish綺想曲vol．27(下),,GLish綺想曲vol27下,,GLish綺想曲vol27下,,,,,,"木田かおる, じねん, 森キヨウ, 鮭田ねね",,"木田かおる, じねん, 森キヨウ, 鮭田ねね",,,,,,,,,,,2025/9/7,2025/9/7,,2025/9/7,,99.0,,99.0,,,漫畫、圖畫小說和漫畫-連環漫畫-Yaoi,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/g-lish-vol-27,,False,43
